eleves;ORTH;GRAM;EXPR;RECI;MATH;ANGL;HIST;BIOL;EDMU;ARTS;TECH;EPS;GEO;EXPO
EL01;13;10;2;4;9;9;8;7;7,5;1,5;14;10;10,5;13
EL02;6,5;8;8,5;14;13;7;11;8,5;16;4;18;18;16;15
EL03;14;6,5;8;5;11;8;9,5;8;18,5;9,5;14;16,5;14;13
EL04;13;7,5;9;5;10;10,5;10;16;16;11,5;0;11,5;15;18
EL05;15;7,5;10;14;12;11;9;11;16,5;13,5;16;13;15,51;17
EL06;5;8;5,5;6,5;16;12;9;7;13,5;5;16;12,5;13;17,5
EL07;12;6,5;9;16;18;13,5;9;10;15;11;16;13,5;14;18
EL08;8,5;2,5;9;13;12;9,5;12;13,5;16,5;8;13;12;14;17
EL09;15,5;7,5;12,5;16;15;13;12;13,5;17;14;15;16;15;17
EL10;20;14,5;16,5;10;18;16,5;15;10,5;18;13,5;12;14,5;13;15
EL11;6;4;11;9,5;13;12;11;7,5;17,5;12;18;13,5;13;17
EL12;0;5,5;6;6;9;3;7;2;12;1,5;15;12,5;14;0
EL13;15,5;12;12;8;17;17;11;4,5;16;9;13;5;12,5;16,5
EL14;15;6,5;11,5;10;13;12,5;7;11;14;7;14;11;15;13
EL15;11;9;7,5;11;12,5;11;9;11,5;18;8,5;17;15;15;15
EL16;6,5;9;10;10;10;6,5;7;12,5;18;14,5;16;13,5;13;18
EL17;7;4,5;6;6;15;13,5;11;7;7;6,5;11;10,5;13,5;16
EL18;11,5;8,5;7,5;12;10;7,5;8;10;17,5;7;11;16,5;15,5;14
EL19;4,5;7,5;9;12;12;9;7;11,5;17;12,5;12;16;13;18
EL20;5,5;8;8;11;10;12;8;7;12;5;18;10,5;13;15
EL21;16;13,5;14,5;9,5;16;17;11,5;12,5;19;13,5;6;11;16;16
EL22;5,5;2;7,5;14,5;11;10;7;8;15,5;8;16;13,5;13;15
EL23;14;8;6,5;6,5;10;14,5;9;5;9,5;3,5;0;18,5;13;0
EL24;5,5;8;4,5;15;8;7,5;5;5;13,5;8;6;9;0;13
EL25;11;4;10,5;6;11;12;9;17;14;12,5;8;10,5;17,5;15
EL26;4,5;7;10,5;11,5;14;8,5;7,5;7;18;14;13;15,5;18;13
EL27;9;8,5;7,5;10;14;11,5;9;15;17,5;9;13;13,5;17,5;16

