Clients	SOLD	CHEQ	NDEC	MDEC	NBPR	NEMP	MEMP	VADO	DEPO	RETR	VARR	TAIL	AGEC	
1	2305	253	7	2,3	0	1	8,5	-2	3,1	0,7	3	1	22	
2	15259	1024	0	0	3	1	25	9	500	0	0	3	45	
3	1236	156	10	5,4	1	0	0	3	6	2	1	1	19	
4	8241	455	1	0,1	6	4	210	4	32	36	3	2	62	
5	6210	1022	2	0,3	5	3	113	3	150	80,5	2	2	36	
6	6871	321	1	3	6	4	200	3	125	98	3	2	31	
7	1580	150	9	6,1	2	1	8	2	6,5	5,5	1	1	25	
8	9630	562	1	4	5	3	111	4	225,2	110,5	2	1	28	
9	4230	63	3	2,7	2	0	0	1	5,1	20	-3	1	24	
10	3620	84	5	9,8	1	1	81	-3	7,2	3,1	8	2	36	
11	10258	1255	0	0	6	4	310	5	251,7	257,7	3	3	46	
12	23698	52	1	2,9	2	0	0	12	523,2	2	1	5	47	
13	3698	854	0	0	1	1	5	-2	1,5	3,2	1	4	44	
14	231	68	12	8,9	1	0	0	-1	0,5	0,1	0	2	29	
15	501	255	0	0	1	1	5	-3	10,2	10,1	1	2	64	
16	3693	24	0	0	2	0	0	2	1,2	21,5	2	2	78	
17	963	92	1	0,9	1	0	0	-1	105,1	5,1	-1	1	24	
18	15802	1122	0	0	2	0	0	10	610,6	0,1	-1	1	51	
19	502	751	6	3	2	2	8,5	1	61,2	0,8	6	1	18	
20	7896	1236	1	6	6	3	250,7	3	187,5	98,1	3	3	35	
21	23698	969	0	0	3	0	0	12	916,2	8,1	-1	3	49	 
22	27896	425	1	2,3	3	0	0	15	523,2	0	0	3	55	
23	5687	363	1	3,6	5	3	155	3	261	110	2	2	67	
24	1269	451	0	0	1	2	15	-1	51,3	5,1	3	1	22	
25	3687	152	3	0,6	2	1	25	-2	0,1	52	-3	2	27	 
26	9631	147	0	0	2	0	0	9	655,7	0	0	2	30	
27	75632	954	0	0	3	0	0	13	889,3	0	0	2	38	
28	5523	136	1	1,2	5	4	110,1	5	110,2	110,5	2	3	42	
29	6984	254	2	0,3	4	3	125,1	3	130,5	85,1	3	1	64	
30	85214	2360	0	0	3	0	0	9	632,7	1	-1	4	53	
31	4235	258	1	0,4	4	1	30	-2	32,7	13,6	1	5	55	
32	3691	1025	2	2	3	0	0	1	52	0,1	3	5	40	
33	4563	655	3	0,2	4	0	0	-2	12	10,8	7	4	37	
34	2587	489	0	0	3	0	39,1	4	65,7	45,1	-1	3	29	
35	3654	257	4	0,4	1	8	25,6	-2	0,5	42,5	-1	1	26	
36	547	98	0	0	2	2	25	6	72,5	0,1	7	2	23	
37	5821	1025	0	0	5	3	110	4	114,9	135,2	4	2	49	
38	12587	587	0	0	3	0	0	8	451,6	5	1	3	46	
39	6981	163	1	3	4	3	98	3	92,3	85,2	2	3	57	
40	25871	125	0	0	3	0	0	11	754,1	0,1	0	3	38	
41	15236	254	0	0	6	3	221	3	123,1	97	2	4	40	
42	12369	128	0	0	3	0	0	9	651,3	0	0	4	39	
43	4563	962	8	5,6	3	0	0	-1	23,1	9,2	2	3	26	
44	12258	2301	0	0	3	1	15	8	591	10	1	4	41	
45	7529	587	0	0	5	2	200	3	117	81	5	3	29	
46	6987	1027	1	0,4	6	30	158	4	165	80,1	-1	4	51	
47	9632	238	1	0,8	4	2	151	3	127	77	2	5	53	
48	3654	1456	0	0	2	5	65	-1	65	6	2	8	45	
49	25412	698	0	0	2	0	0	12	658	0	-1	9	41	
50	3654	150	1	0,9	0	0	0	-2	7	42	9	1	20	
