"rentree_scolaire","region_academique","academie","departement","commune","numero_etablissement"
2020,"AUVERGNE-RHONE-ALPES","CLERMONT-FERRAND","PUY-DE-DOME","CLERMONT-FERRAND","0630018C"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ARDECHE","LE TEIL","0071351F"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ARDECHE","TOURNON-SUR-RHONE","0070029U"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","DROME","CREST","0260006R"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","DROME","DIE","0260008T"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","DROME","ROMANS-SUR-ISERE","0260066F"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","HAUTE SAVOIE","ANNECY","0740003B"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","GRENOBLE","0381603L"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","GRENOBLE","0381803D"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","GRENOBLE","0383242T"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","GRENOBLE","0380034F"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","MEYLAN","0382863F"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","NIVOLAS-VERMELLE","0383072H"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","VIENNE","0381678T"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","VIENNE","0382854W"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","ISERE","VOIRON","0380091T"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","SAVOIE","CHAMBERY","0730013T"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","SAVOIE","LA RAVOIRE","0731392S"
2020,"AUVERGNE-RHONE-ALPES","GRENOBLE","SAVOIE","UGINE","0730043A"
2020,"AUVERGNE-RHONE-ALPES","LYON","AIN","BELLIGNAT","0011119L"
2020,"AUVERGNE-RHONE-ALPES","LYON","AIN","CESSY","0010878Z"
2020,"AUVERGNE-RHONE-ALPES","LYON","AIN","MIRIBEL","0010075B"
2020,"AUVERGNE-RHONE-ALPES","LYON","AIN","NANTUA","0010032E"
2020,"AUVERGNE-RHONE-ALPES","LYON","AIN","VALSERHONE","0010006B"
2020,"AUVERGNE-RHONE-ALPES","LYON","LOIRE","CHAZELLES-SUR-LYON","0422284E"
2020,"AUVERGNE-RHONE-ALPES","LYON","LOIRE","SAINT-ETIENNE","0420043U"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  1ER ARRONDISSEMENT","0690564N"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  1ER ARRONDISSEMENT","0690037R"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  3E  ARRONDISSEMENT","0690029G"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  5E  ARRONDISSEMENT","0690520R"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  5E  ARRONDISSEMENT","0690028F"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  7E  ARRONDISSEMENT","0690536H"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  7E  ARRONDISSEMENT","0693446W"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  8E  ARRONDISSEMENT","0690035N"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  8E  ARRONDISSEMENT","0690538K"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","LYON  9E  ARRONDISSEMENT","0690038S"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","SAINT-GENIS-LAVAL","0693654X"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","VENISSIEUX","0690104N"
2020,"AUVERGNE-RHONE-ALPES","LYON","RHONE","VILLEFRANCHE-SUR-SAONE","0690097F"
2020,"BOURGOGNE-FRANCHE-COMTE","BESANCON","DOUBS","BESANCON","0250010A"
